id,title,categories,abstract,doi,created,updated,authors
0803.0966,new probabilistic interest measures for association rules,cs.db stat.ml,"mining association rules is an important technique for discovering meaningful patterns in transaction databases. many different measures of interestingness have been proposed for association rules. however, these measures fail to take the probabilistic properties of the mined data into account. in this paper, we start with presenting a simple probabilistic framework for transaction data which can be used to simulate transaction data when no associations are present. we use such data and a real-world database from a grocery outlet to explore the behavior of confidence and lift, two popular interest measures used for rule mining. the results show that confidence is systematically influenced by the frequency of the items in the left hand side of rules and that lift performs poorly to filter random noise in transaction data. based on the probabilistic framework we develop two new interest measures, hyper-lift and hyper-confidence, which can be used to filter or order mined association rules. the new measures show significantly better performance than lift for applications where spurious rules are problematic.",10.3233/ida-2007-11502,2008-03-06,,"['michael hahsler', 'kurt hornik']"
1301.1954,on the incommensurability phenomenon,stat.ml,"suppose that two large, multi-dimensional data sets are each noisy measurements of the same underlying random process, and principle components analysis is performed separately on the data sets to reduce their dimensionality. in some circumstances it may happen that the two lower-dimensional data sets have an inordinately large procrustean fitting-error between them. the purpose of this manuscript is to quantify this ""incommensurability phenomenon."" in particular, under specified conditions, the square procrustean fitting-error of the two normalized lower-dimensional data sets is (asymptotically) a convex combination (via a correlation parameter) of the hausdorff distance between the projection subspaces and the maximum possible value of the square procrustean fitting-error for normalized data. we show how this gives rise to the incommensurability phenomenon, and we employ illustrative simulations as well as a real data experiment to explore how the incommensurability phenomenon may have an appreciable impact.",10.1007/s00357-016-9203-9,2013-01-09,2015-02-06,"['donniell e. fishkind', 'cencheng shen', 'youngser park', 'carey e. priebe']"
1304.7981,generalized canonical correlation analysis for classification,stat.ml,"for multiple multivariate data sets, we derive conditions under which generalized canonical correlation analysis (gcca) improves classification performance of the projected datasets, compared to standard canonical correlation analysis (cca) using only two data sets. we illustrate our theoretical results with simulations and a real data experiment.",10.1016/j.jmva.2014.05.011,2013-04-30,2014-06-26,"['cencheng shen', 'ming sun', 'minh tang', 'carey e. priebe']"
1311.5954,robust vertex classification,stat.ml,"for random graphs distributed according to stochastic blockmodels, a special case of latent position graphs, adjacency spectral embedding followed by appropriate vertex classification is asymptotically bayes optimal; but this approach requires knowledge of and critically depends on the model dimension. in this paper, we propose a sparse representation vertex classifier which does not require information about the model dimension. this classifier represents a test vertex as a sparse combination of the vertices in the training set and uses the recovered coefficients to classify the test vertex. we prove consistency of our proposed classifier for stochastic blockmodels, and demonstrate that the sparse representation classifier can predict vertex labels with higher accuracy than adjacency spectral embedding approaches via both simulation studies and real data experiments. our results demonstrate the robustness and effectiveness of our proposed vertex classifier when the model dimension is unknown.",10.1109/tpami.2015.2456913,2013-11-22,2015-04-22,"['li chen', 'cencheng shen', 'joshua vogelstein', 'carey priebe']"
1506.03410,sparse projection oblique randomer forests,stat.ml cs.lg,"decision forests, including random forests and gradient boosting trees, have recently demonstrated state-of-the-art performance in a variety of machine learning settings. decision forests are typically ensembles of axis-aligned decision trees; that is, trees that split only along feature dimensions. in contrast, many recent extensions to decision forests are based on axis-oblique splits. unfortunately, these extensions forfeit one or more of the favorable properties of decision forests based on axis-aligned splits, such as robustness to many noise dimensions, interpretability, or computational efficiency. we introduce yet another decision forest, called ""sparse projection oblique randomer forests"" (sporf). sporf uses very sparse random projections, i.e., linear combinations of a small subset of features. sporf significantly improves accuracy over existing state-of-the-art algorithms on a standard benchmark suite for classification with >100 problems of varying dimension, sample size, and number of classes. to illustrate how sporf addresses the limitations of both axis-aligned and existing oblique decision forest methods, we conduct extensive simulated experiments. sporf typically yields improved performance over existing decision forests, while mitigating computational efficiency and scalability and maintaining interpretability. sporf can easily be incorporated into other ensemble methods such as boosting to obtain potentially similar gains.",,2015-06-10,2019-10-03,"['tyler m. tomita', 'james browne', 'cencheng shen', 'jaewon chung', 'jesse l. patsolic', 'benjamin falk', 'jason yim', 'carey e. priebe', 'randal burns', 'mauro maggioni', 'joshua t. vogelstein']"
1701.07275,"universal representations:the missing link between faces, text,   planktons, and cat breeds",cs.cv stat.ml,"with the advent of large labelled datasets and high-capacity models, the performance of machine vision systems has been improving rapidly. however, the technology has still major limitations, starting from the fact that different vision problems are still solved by different models, trained from scratch or fine-tuned on the target data. the human visual system, in stark contrast, learns a universal representation for vision in the early life of an individual. this representation works well for an enormous variety of vision problems, with little or no change, with the major advantage of requiring little training data to solve any of them. in this paper we investigate whether neural networks may work as universal representations by studying their capacity in relation to the âsizeâ of a large combination of vision problems. we do so by showing that a single neural network can learn simultaneously several very different visual domains (from sketches to planktons and mnist digits) as well as, or better than, a number of specialized networks. however, we also show that this requires to carefully normalize the information in the network, by using domain-specific scaling factors or, more generically, by using an instance normalization layer.",,2017-01-25,,"['hakan bilen', 'andrea vedaldi']"
1710.00095,user-friendly guarantees for the langevin monte carlo with inaccurate   gradient,math.st cs.lg math.pr stat.co stat.ml stat.th,"in this paper, we study the problem of sampling from a given probability density function that is known to be smooth and strongly log-concave. we analyze several methods of approximate sampling based on discretizations of the (highly overdamped) langevin diffusion and establish guarantees on its error measured in the wasserstein-2 distance. our guarantees improve or extend the state-of-the-art results in three directions. first, we provide an upper bound on the error of the first-order langevin monte carlo (lmc) algorithm with optimized varying step-size. this result has the advantage of being horizon free (we do not need to know in advance the target precision) and to improve by a logarithmic factor the corresponding result for the constant step-size. second, we study the case where accurate evaluations of the gradient of the log-density are unavailable, but one can have access to approximations of the aforementioned gradient. in such a situation, we consider both deterministic and stochastic approximations of the gradient and provide an upper bound on the sampling error of the first-order lmc that quantifies the impact of the gradient evaluation inaccuracies. third, we establish upper bounds for two versions of the second-order lmc, which leverage the hessian of the log-density. we provide nonasymptotic guarantees on the sampling error of these second-order lmcs. these guarantees reveal that the second-order lmc algorithms improve on the first-order lmc in ill-conditioned settings.",10.1016/j.spa.2019.02.016,2017-09-29,2024-02-23,"['arnak s. dalalyan', 'avetik g. karagulyan']"
1712.02195,approximations in the homogeneous ising model,stat.me stat.ap stat.co stat.ml,"the ising model is important in statistical modeling and inference in many applications, however its normalizing constant, mean number of active vertices and mean spin interaction -- quantities needed in inference -- are computationally intractable. we provide accurate approximations that make it possible to numerically calculate these quantities in the homogeneous case. simulation studies indicate good performance of our approximation formulae that are scalable and unfazed by the size (number of nodes, degree of graph) of the markov random field. the practical import of our approximation formulae is illustrated in performing bayesian inference in a functional magnetic resonance imaging activation detection experiment, and also in likelihood ratio testing for anisotropy in the spatial patterns of yearly increases in pistachio tree yields.",,2017-12-06,2024-01-20,"['alejandro murua-sazo', 'ranjan maitra']"
1801.07683,discovering the signal subgraph: an iterative screening approach on   graphs,stat.me,"supervised learning on graphs is a challenging task due to the high dimensionality and inherent structural dependencies in the data, where each edge depends on a pair of vertices. existing conventional methods designed for euclidean data do not account for this graph dependency structure. to address this issue, this paper proposes an iterative vertex screening method to identify the signal subgraph that is most informative for the given graph attributes. the method screens the rows and columns of the adjacency matrix concurrently and stops when the resulting distance correlation is maximized. we establish the theoretical foundation of our method by proving that it estimates the true signal subgraph with high probability. additionally, we establish the convergence rate of classification error under the erdos-renyi random graph model and prove that the subsequent classification can be asymptotically optimal, outperforming the entire graph under high-dimensional conditions. our method is evaluated on various simulated datasets and real-world human and murine graphs derived from functional and structural magnetic resonance images. the results demonstrate its excellent performance in estimating the ground-truth signal subgraph and achieving superior classification accuracy.",,2018-01-23,2024-02-05,"['cencheng shen', 'shangsi wang', 'alexandra badea', 'carey e. priebe', 'joshua t. vogelstein']"
1801.09386,tournament leave-pair-out cross-validation for receiver operating   characteristic (roc) analysis,stat.ml,"receiver operating characteristic (roc) analysis is widely used for evaluating diagnostic systems. recent studies have shown that estimating an area under roc curve (auc) with standard cross-validation methods suffers from a large bias. the leave-pair-out (lpo) cross-validation has been shown to correct this bias. however, while lpo produces an almost unbiased estimate of auc, it does not provide a ranking of the data needed for plotting and analyzing the roc curve. in this study, we propose a new method called tournament leave-pair-out (tlpo) cross-validation. this method extends lpo by creating a tournament from pair comparisons to produce a ranking for the data. tlpo preserves the advantage of lpo for estimating auc, while it also allows performing roc analyses. we have shown using both synthetic and real world data that tlpo is as reliable as lpo for auc estimation, and confirmed the bias in leave-one-out cross-validation on low-dimensional data. as a case study on roc analysis, we also evaluate how reliably sensitivity and specificity can be estimated from tlpo roc curves.",10.1177/0962280218795190,2018-01-29,2024-01-24,"['ileana montoya perez', 'antti airola', 'peter j. boström', 'ivan jambor', 'tapio pahikkala']"
