Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_0,Embarked_1,Embarked_2
0,3,1,22.0,1,0,7.25,0,1,0
1,1,0,38.0,1,0,71.2833,0,0,0
1,3,0,26.0,0,0,7.925,0,1,0
1,1,0,35.0,1,0,53.1,0,1,0
0,3,1,35.0,0,0,8.05,0,1,0
0,3,1,56.320362518654086,0,0,8.4583,1,0,0
0,1,1,54.0,0,0,51.8625,0,1,0
0,3,1,2.0,3,1,21.075,0,1,0
1,3,0,27.0,0,2,11.1333,0,1,0
1,2,0,14.0,1,0,30.0708,0,0,0
1,3,0,4.0,1,1,16.7,0,1,0
1,1,0,58.0,0,0,26.55,0,1,0
0,3,1,20.0,0,0,8.05,0,1,0
0,3,1,39.0,1,5,31.275,0,1,0
0,3,0,14.0,0,0,7.8542,0,1,0
1,2,0,55.0,0,0,16.0,0,1,0
0,3,1,2.0,4,1,29.125,1,0,0
1,2,1,1.5441611200054697,0,0,13.0,0,1,0
0,3,0,31.0,1,0,18.0,0,1,0
1,3,0,37.21262760883999,0,0,7.225,0,0,0
0,2,1,35.0,0,0,26.0,0,1,0
1,2,1,34.0,0,0,13.0,0,1,0
1,3,0,15.0,0,0,8.0292,1,0,0
1,1,1,28.0,0,0,35.5,0,1,0
0,3,0,8.0,3,1,21.075,0,1,0
1,3,0,38.0,1,5,31.3875,0,1,0
0,3,1,36.90676411530201,0,0,7.225,0,0,0
0,1,1,19.0,3,2,263.0,0,1,0
1,3,0,15.290449953861089,0,0,7.8792,1,0,0
0,3,1,24.615559302543872,0,0,7.8958,0,1,0
0,1,1,40.0,0,0,27.7208,0,0,0
1,1,0,60.28121737188806,1,0,146.5208,0,0,0
0,1,1,28.0,1,0,82.1708,0,0,0
0,1,1,42.0,1,0,52.0,0,1,0
1,3,1,36.15710087953674,0,0,7.2292,0,0,0
0,3,1,21.0,0,0,8.05,0,1,0
0,3,0,18.0,2,0,18.0,0,1,0
1,3,0,14.0,1,0,11.2417,0,0,0
0,3,0,40.0,1,0,9.475,0,1,0
0,2,0,27.0,1,0,21.0,0,1,0
0,3,1,8.171727881430206,0,0,7.8958,0,0,0
1,2,0,3.0,1,2,41.5792,0,0,0
1,3,0,19.0,0,0,7.8792,1,0,0
0,3,1,31.693828612200967,0,0,8.05,0,1,0
0,3,1,37.001835958398026,1,0,15.5,1,0,0
1,3,0,35.29958482255255,0,0,7.75,1,0,0
0,3,1,28.840451908432755,2,0,21.6792,0,0,0
0,3,0,18.0,1,0,17.8,0,1,0
0,3,1,7.0,4,1,39.6875,0,1,0
0,3,1,21.0,0,0,7.8,0,1,0
1,1,0,49.0,1,0,76.7292,0,0,0
1,2,0,29.0,1,0,26.0,0,1,0
0,1,1,65.0,0,1,61.9792,0,0,0
1,1,1,49.16967515437792,0,0,35.5,0,1,0
1,2,0,21.0,0,0,10.5,0,1,0
0,3,1,28.5,0,0,7.2292,0,0,0
1,2,0,5.0,1,2,27.75,0,1,0
0,3,1,11.0,5,2,46.9,0,1,0
0,3,1,22.0,0,0,7.2292,0,0,0
1,1,0,38.0,0,0,80.0,0,0,1
0,1,1,45.0,1,0,83.475,0,1,0
0,3,1,4.0,3,2,27.9,0,1,0
0,1,1,-6.57126306424507,0,0,27.7208,0,0,0
1,3,1,19.13024409140645,1,1,15.2458,0,0,0
1,2,0,29.0,0,0,10.5,0,1,0
0,3,1,19.0,0,0,8.1583,0,1,0
1,3,0,17.0,4,2,7.925,0,1,0
0,3,1,26.0,2,0,8.6625,0,1,0
0,2,1,32.0,0,0,10.5,0,1,0
0,3,0,16.0,5,2,46.9,0,1,0
0,2,1,21.0,0,0,73.5,0,1,0
0,3,1,26.0,1,0,14.4542,0,0,0
1,3,1,32.0,0,0,56.4958,0,1,0
0,3,1,25.0,0,0,7.65,0,1,0
0,3,1,9.580879869101928,0,0,7.8958,0,1,0
1,2,1,0.83,0,2,29.0,0,1,0
1,3,0,30.0,0,0,12.475,0,1,0
0,3,1,22.0,0,0,9.0,0,1,0
1,3,1,29.0,0,0,9.5,0,1,0
